1.00E+01	0	0	0
1.10E+01	0	0	0
1.20E+01	0	0	0
1.30E+01	0	0	0
1.40E+01	0	0	0
1.50E+01	0	0	0
1.60E+01	0	0	0
1.70E+01	0	0	0
1.80E+01	0	0	0
1.90E+01	0	0	0
2.00E+01	0	0	0
2.10E+01	0.0052	0	0
2.20E+01	0.0142	0	0
2.30E+01	0.0564	0	0
2.40E+01	0.0751	0	0
2.50E+01	0.1	0	0
2.60E+01	0.2059	0.0015	0
2.70E+01	0.1347	0.0016	0
2.80E+01	0.0863	0.0014	0
2.90E+01	0.0821	0.0018	0
3.00E+01	0.0679	0.0054	0
3.10E+01	0.0448	0.0093	0
3.20E+01	0.0351	0.0116	0
3.30E+01	0.0213	0.0097	0
3.40E+01	0.0225	0.0136	0
3.50E+01	0.0071	0.0159	0.0003
3.60E+01	0.0076	0.0123	0.0002
3.70E+01	0.0028	0.0184	0.0003
3.80E+01	0.0023	0.0202	0.0075
3.90E+01	0.0018	0.0193	0.0164
4.00E+01	0.0018	0.0157	0.0101
4.10E+01	0.0028	0.0346	0.0163
4.20E+01	0.0045	0.0175	0.0181
4.30E+01	0.0012	0.0245	0.0264
4.40E+01	0.0021	0.053	0.0181
4.50E+01	0.0012	0.0553	0.026
4.60E+01	0.0003	0.0844	0.0365
4.70E+01	0.0003	0.1269	0.0602
4.80E+01	0	0.1365	0.0486
4.90E+01	0.0001	0.1102	0.0914
5.00E+01	0.001	0.0859	0.1011
5.10E+01	0.0002	0.0617	0.0932
5.20E+01	0.0011	0.0329	0.1552
5.30E+01	0.0011	0.01	0.1033
5.40E+01	0.0022	0.0044	0.0883
5.50E+01	0.001	0.0012	0.0593
5.60E+01	0.002	0.0021	0.0191
5.70E+01	0.0034	0.0001	0.0017
5.80E+01	0.001	0.0011	0.0008
5.90E+01	0	0	0.0002
6.00E+01	0	0	0.0003
6.10E+01	0.00E+00	0.00E+00	0.00E+00
6.20E+01	0	0	0
6.30E+01	0	0	0
6.40E+01	0	0	0
6.50E+01	0	0	0
